Step,Power,Reward,Latency_ms,Migrations,Fidelity,BytesExchanged
64,2294.6187833333333,7702.117327777778,326.38888888888886,52,1.0,376832
65,2292.68445,7703.982216666666,333.3333333333333,52,0.5,382720
66,2290.750116666667,7706.124883333333,312.5,52,0.5,388608
67,2289.7829500000003,7707.022605555556,319.4444444444444,52,0.8333333333333334,394496
68,2284.947116666667,7711.997327777777,305.55555555555554,52,0.5,400384
69,2286.88145,7710.271327777778,284.72222222222223,52,0.6666666666666666,406272
70,2293.651616666667,7703.153938888889,319.4444444444444,52,0.6666666666666666,412160
71,2288.8157833333335,7707.850883333333,333.3333333333333,52,0.6666666666666666,418048
72,2287.8486166666667,7709.304161111111,284.72222222222223,52,0.6666666666666666,423936
73,2289.7829500000003,7706.953161111111,326.38888888888886,52,0.8333333333333334,429824
74,2287.8486166666667,7709.1652722222225,298.61111111111114,52,0.8333333333333334,435712
